Time,Seconds,Latitude / Y Position (Degrees),Longitude / X Position (Degrees),Distance (Miles),Speed (MPH),Steering Angle,Throttle Position,Engine RPM,Lateral Gs,Acceleration Gs
2018-04-08 10:31:37.005628,694.308316,30.327355999999998,-97.75596800000001,7.47,61.563,-0.3,13,2146,-0.0,-0.02
2018-04-08 10:31:37.090666,694.393353,30.327336,-97.755969,7.47,61.51,-0.3,13,2145,-0.0,-0.02
2018-04-08 10:31:37.190665,694.4933530000001,30.327312,-97.755969,7.48,61.448,-0.3,13,2144,-0.0,-0.02
2018-04-08 10:31:37.247328,694.550016,30.327298,-97.755969,7.48,61.412,-0.3,13,2144,-0.0,-0.02
2018-04-08 10:31:37.290665,694.593353,30.327288,-97.75596999999999,7.48,61.385,-0.3,12,2143,-0.0,-0.02
2018-04-08 10:31:37.390666,694.693353,30.327264000000003,-97.75596999999999,7.48,61.323,-0.3,11,2143,-0.01,-0.03
2018-04-08 10:31:37.490666,694.793353,30.327240000000003,-97.75596999999999,7.48,61.26,-0.4,10,2142,-0.01,-0.03
2018-04-08 10:31:37.506585,694.809272,30.327236,-97.755971,7.48,61.25,-0.4,10,2141,-0.01,-0.03
2018-04-08 10:31:37.590666,694.893353,30.327215999999996,-97.755971,7.48,61.198,-0.4,9,2141,-0.01,-0.03
2018-04-08 10:31:37.690665,694.9933530000001,30.327191,-97.755971,7.48,61.136,-0.4,8,2140,-0.01,-0.03
2018-04-08 10:31:37.790665,695.093353,30.327167,-97.755972,7.49,61.074,-0.4,6,2139,-0.01,-0.03
2018-04-08 10:31:37.890666,695.193353,30.327143,-97.755972,7.49,61.012,-0.4,5,2138,-0.01,-0.03
2018-04-08 10:31:37.906713,695.209401,30.327139000000003,-97.755972,7.49,61.001999999999995,-0.4,5,2138,-0.01,-0.03
2018-04-08 10:31:37.912292,695.21498,30.327137,-97.755972,7.49,60.998999999999995,-0.4,5,2138,-0.01,-0.03
2018-04-08 10:31:37.990666,695.293353,30.327118,-97.755973,7.49,60.95,-0.4,4,2137,-0.01,-0.03
2018-04-08 10:31:38.007500,695.310187,30.327114,-97.755973,7.49,60.94,-0.4,4,2137,-0.01,-0.03
2018-04-08 10:31:38.090666,695.393353,30.327094,-97.755973,7.49,60.888000000000005,-0.4,3,2134,-0.01,-0.03
2018-04-08 10:31:38.190665,695.4933530000001,30.327069,-97.755973,7.49,60.826,-0.4,1,2130,-0.01,-0.03
2018-04-08 10:31:38.290665,695.593353,30.327045000000002,-97.755974,7.5,60.763999999999996,-0.4,0,2127,-0.01,-0.03
2018-04-08 10:31:38.311144,695.613832,30.327040000000004,-97.755974,7.5,60.751999999999995,-0.4,0,2126,-0.01,-0.03
2018-04-08 10:31:38.390666,695.693353,30.327021000000002,-97.755974,7.5,60.702,-0.4,0,2123,-0.01,-0.04
2018-04-08 10:31:38.490666,695.793353,30.326996,-97.755974,7.5,60.64,-0.4,0,2120,-0.01,-0.04
2018-04-08 10:31:38.515609,695.818296,30.326990000000002,-97.755974,7.5,60.625,-0.4,0,2119,-0.01,-0.04
2018-04-08 10:31:38.590666,695.893353,30.326971999999998,-97.755975,7.5,60.582,-0.4,0,2116,-0.01,-0.04
2018-04-08 10:31:38.690665,695.9933530000001,30.326946999999997,-97.755975,7.5,60.525,-0.4,0,2112,-0.01,-0.04
2018-04-08 10:31:38.790665,696.093353,30.326922999999997,-97.755975,7.5,60.468,-0.4,0,2109,-0.01,-0.04
2018-04-08 10:31:38.890666,696.193353,30.326898,-97.755976,7.51,60.41,-0.4,0,2105,-0.01,-0.04
2018-04-08 10:31:38.913223,696.21591,30.326893,-97.755976,7.51,60.397,-0.4,0,2104,-0.01,-0.04
2018-04-08 10:31:38.917969,696.2206570000001,30.326891999999997,-97.755976,7.51,60.395,-0.4,0,2104,-0.01,-0.04
2018-04-08 10:31:38.990666,696.293354,30.326874,-97.755976,7.51,60.353,-0.4,0,2102,-0.01,-0.04
2018-04-08 10:31:39.009883,696.31257,30.326869,-97.755976,7.51,60.342,-0.4,0,2101,-0.01,-0.04
2018-04-08 10:31:39.090667,696.393354,30.32685,-97.755976,7.51,60.29600000000001,-0.4,0,2099,-0.01,-0.04
2018-04-08 10:31:39.190667,696.493354,30.326825,-97.755976,7.51,60.239,-0.3,0,2096,-0.01,-0.04
2018-04-08 10:31:39.290667,696.593354,30.326801,-97.755977,7.51,60.181999999999995,-0.3,0,2093,-0.01,-0.04
2018-04-08 10:31:39.390666,696.693354,30.326777000000003,-97.755977,7.51,60.123999999999995,-0.3,0,2090,-0.01,-0.04
2018-04-08 10:31:39.490666,696.793354,30.326753000000004,-97.755977,7.52,60.067,-0.3,0,2087,-0.01,-0.04
2018-04-08 10:31:39.590667,696.893354,30.326728999999997,-97.755977,7.52,60.01,-0.3,0,2084,-0.01,-0.04
2018-04-08 10:31:39.607943,696.91063,30.326725,-97.755977,7.52,60.0,-0.3,0,2083,-0.01,-0.04
2018-04-08 10:31:39.690667,696.993354,30.326705,-97.755977,7.52,59.906000000000006,-0.3,0,2081,-0.01,-0.04
2018-04-08 10:31:39.790667,697.093354,30.326681,-97.755977,7.52,59.792,-0.2,0,2078,-0.02,-0.04
2018-04-08 10:31:39.890666,697.193354,30.326658000000002,-97.755978,7.52,59.678999999999995,-0.2,0,2075,-0.02,-0.04
2018-04-08 10:31:39.954154,697.256841,30.326642,-97.755978,7.52,59.606,-0.2,0,2073,-0.02,-0.04
2018-04-08 10:31:39.990666,697.293354,30.326634000000002,-97.755978,7.52,59.565,-0.2,0,2072,-0.02,-0.04
2018-04-08 10:31:40.006808,697.309495,30.326629999999998,-97.755978,7.52,59.54600000000001,-0.2,0,2071,-0.02,-0.04
2018-04-08 10:31:40.051596,697.354283,30.326619,-97.755978,7.52,59.496,-0.2,0,2070,-0.02,-0.04
2018-04-08 10:31:40.090667,697.393354,30.32661,-97.755978,7.53,59.451,-0.2,0,2069,-0.02,-0.04
2018-04-08 10:31:40.190667,697.493354,30.326586,-97.755978,7.53,59.336999999999996,-0.1,0,2065,-0.02,-0.04
2018-04-08 10:31:40.290667,697.593354,30.326562,-97.755978,7.53,59.224,-0.1,0,2061,-0.02,-0.04
2018-04-08 10:31:40.390666,697.693354,30.326539,-97.75597900000001,7.53,59.11,-0.1,0,2057,-0.02,-0.04
2018-04-08 10:31:40.490666,697.793354,30.326515,-97.75597900000001,7.53,58.996,-0.1,0,2053,-0.02,-0.04
2018-04-08 10:31:40.590667,697.893354,30.326492,-97.75597900000001,7.53,58.883,-0.0,0,2050,-0.02,-0.04
2018-04-08 10:31:40.690667,697.993354,30.326469,-97.75597900000001,7.54,58.769,0.0,0,2046,-0.02,-0.04
2018-04-08 10:31:40.707311,698.009999,30.326465000000002,-97.75597900000001,7.54,58.75,0.0,0,2045,-0.02,-0.04
2018-04-08 10:31:40.790667,698.093354,30.326445,-97.75598000000001,7.54,58.698,0.0,0,2042,-0.02,-0.04
2018-04-08 10:31:40.890666,698.193354,30.326421999999997,-97.75598000000001,7.54,58.635,0.1,0,2038,-0.02,-0.05
2018-04-08 10:31:40.952425,698.2551129999999,30.326408,-97.75598000000001,7.54,58.597,0.1,0,2036,-0.02,-0.05
2018-04-08 10:31:40.990666,698.293354,30.326399,-97.75598000000001,7.54,58.573,0.1,0,2034,-0.02,-0.05
2018-04-08 10:31:41.008059,698.310746,30.326395,-97.755981,7.54,58.562,0.1,0,2034,-0.02,-0.05
2018-04-08 10:31:41.053017,698.355705,30.326384,-97.755981,7.54,58.534,0.1,0,2032,-0.02,-0.05
2018-04-08 10:31:41.090667,698.393354,30.326376,-97.755981,7.54,58.51,0.0,0,2031,-0.02,-0.05
2018-04-08 10:31:41.190667,698.493354,30.326352000000004,-97.75598199999999,7.54,58.448,-0.0,0,2027,-0.02,-0.05
2018-04-08 10:31:41.290667,698.593354,30.326328999999998,-97.75598199999999,7.54,58.386,-0.1,0,2023,-0.01,-0.05
2018-04-08 10:31:41.390666,698.693354,30.326306,-97.755983,7.55,58.323,-0.2,0,2020,-0.01,-0.05
2018-04-08 10:31:41.490666,698.793354,30.326283,-97.755984,7.55,58.261,-0.3,0,2016,-0.01,-0.05
2018-04-08 10:31:41.590667,698.893354,30.326259999999998,-97.755985,7.55,58.198,-0.3,0,2012,-0.01,-0.05
2018-04-08 10:31:41.690667,698.993354,30.326237,-97.755985,7.55,58.136,-0.4,0,2008,-0.0,-0.06
2018-04-08 10:31:41.707597,699.010285,30.326233000000002,-97.755985,7.55,58.125,-0.4,0,2008,-0.0,-0.06
2018-04-08 10:31:41.790667,699.093354,30.326214,-97.755986,7.55,58.021,-0.5,0,2005,-0.0,-0.06
2018-04-08 10:31:41.890666,699.193354,30.326190999999998,-97.755987,7.55,57.896,-0.6,0,2001,0.0,-0.06
2018-04-08 10:31:41.953284,699.255971,30.326177,-97.755987,7.56,57.818000000000005,-0.6,0,1999,0.0,-0.06
2018-04-08 10:31:41.990666,699.293354,30.326169,-97.755987,7.56,57.771,-0.6,0,1997,0.0,-0.06
2018-04-08 10:31:42.052726,699.355413,30.326154,-97.755988,7.56,57.693999999999996,-0.7,0,1995,0.0,-0.06
2018-04-08 10:31:42.076086,699.378774,30.326148999999997,-97.755988,7.56,57.663999999999994,-0.7,0,1994,0.0,-0.06
2018-04-08 10:31:42.090667,699.393354,30.326146,-97.755988,7.56,57.646,-0.7,0,1994,-0.0,-0.06
2018-04-08 10:31:42.190667,699.493354,30.326123,-97.755989,7.56,57.521,-0.7,0,1990,-0.0,-0.06
2018-04-08 10:31:42.290667,699.593354,30.3261,-97.755989,7.56,57.396,-0.7,0,1987,-0.0,-0.06
2018-04-08 10:31:42.390666,699.693354,30.326077,-97.75599,7.56,57.271,-0.7,0,1984,-0.01,-0.06
2018-04-08 10:31:42.490666,699.793354,30.326055,-97.75599,7.56,57.146,-0.7,0,1981,-0.01,-0.06
2018-04-08 10:31:42.590667,699.893354,30.326032,-97.75599100000001,7.57,57.021,-0.8,0,1977,-0.01,-0.06
2018-04-08 10:31:42.690667,699.993354,30.326009999999997,-97.75599100000001,7.57,56.896,-0.8,0,1974,-0.01,-0.06
2018-04-08 10:31:42.707406,700.0100940000001,30.326006,-97.75599100000001,7.57,56.875,-0.8,0,1973,-0.01,-0.06
2018-04-08 10:31:42.790667,700.093354,30.325986999999998,-97.755992,7.57,56.771,-0.8,0,1971,-0.01,-0.07
2018-04-08 10:31:42.890666,700.193354,30.325965000000004,-97.755992,7.57,56.645,-0.8,0,1967,-0.01,-0.07
2018-04-08 10:31:42.952558,700.2552459999999,30.325951,-97.755992,7.57,56.568000000000005,-0.8,0,1965,-0.01,-0.07
2018-04-08 10:31:42.990666,700.293354,30.325941999999998,-97.755993,7.57,56.52,-0.8,0,1964,-0.01,-0.07
2018-04-08 10:31:43.052672,700.35536,30.325928,-97.755993,7.57,56.442,-0.8,1,1962,-0.01,-0.07
2018-04-08 10:31:43.076495,700.379182,30.325923,-97.755993,7.57,56.413000000000004,-0.8,1,1961,-0.02,-0.07
2018-04-08 10:31:43.090667,700.393354,30.32592,-97.755993,7.57,56.395,-0.8,1,1961,-0.02,-0.07
2018-04-08 10:31:43.190667,700.493355,30.325898,-97.755993,7.58,56.269,-0.7,1,1958,-0.02,-0.07
2018-04-08 10:31:43.290668,700.593355,30.325875,-97.755994,7.58,56.144,-0.5,1,1954,-0.02,-0.07
2018-04-08 10:31:43.390668,700.693355,30.325853000000002,-97.755994,7.58,56.019,-0.4,1,1951,-0.02,-0.07
2018-04-08 10:31:43.490668,700.793355,30.325831,-97.755995,7.58,55.894,-0.3,1,1948,-0.02,-0.07
2018-04-08 10:31:43.590667,700.8933549999999,30.325809000000003,-97.755995,7.58,55.768,-0.2,1,1945,-0.02,-0.07
2018-04-08 10:31:43.690667,700.993355,30.325787,-97.755995,7.58,55.643,-0.1,1,1941,-0.02,-0.07
2018-04-08 10:31:43.705042,701.00773,30.325784000000002,-97.755995,7.58,55.625,-0.0,1,1941,-0.02,-0.07
2018-04-08 10:31:43.790668,701.093355,30.325765999999998,-97.755995,7.58,55.571999999999996,0.1,1,1938,-0.02,-0.07
2018-04-08 10:31:43.890668,701.193355,30.325744,-97.755996,7.59,55.50899999999999,0.2,1,1935,-0.02,-0.07
2018-04-08 10:31:43.953505,701.2561919999999,30.32573,-97.755996,7.59,55.47,0.3,1,1933,-0.02,-0.07
2018-04-08 10:31:43.990668,701.293355,30.325722,-97.755996,7.59,55.446999999999996,0.3,1,1932,-0.02,-0.07
2018-04-08 10:31:44.076791,701.3794780000001,30.325703000000004,-97.755996,7.59,55.393,0.4,1,1929,-0.02,-0.07
2018-04-08 10:31:44.090667,701.3933549999999,30.3257,-97.755996,7.59,55.38399999999999,0.4,1,1929,-0.02,-0.07
2018-04-08 10:31:44.108101,701.410789,30.325696,-97.755996,7.59,55.373999999999995,0.4,1,1928,-0.02,-0.07
2018-04-08 10:31:44.190667,701.493355,30.325678000000003,-97.755996,7.59,55.321999999999996,0.3,1,1925,-0.02,-0.07
2018-04-08 10:31:44.290668,701.593355,30.325657,-97.755997,7.59,55.26,0.1,1,1920,-0.02,-0.07
2018-04-08 10:31:44.390668,701.693355,30.325635,-97.755997,7.59,55.196999999999996,-0.0,1,1916,-0.02,-0.07
2018-04-08 10:31:44.490668,701.793355,30.325613,-97.755997,7.6,55.135,-0.1,1,1912,-0.02,-0.07
2018-04-08 10:31:44.590667,701.8933549999999,30.325591999999997,-97.755997,7.6,55.073,-0.3,1,1908,-0.02,-0.07
2018-04-08 10:31:44.690667,701.993355,30.325570000000003,-97.75599799999999,7.6,55.01,-0.4,1,1904,-0.02,-0.06
2018-04-08 10:31:44.707023,702.0097099999999,30.325567,-97.75599799999999,7.6,55.0,-0.4,1,1903,-0.02,-0.06
2018-04-08 10:31:44.790668,702.093355,30.325549,-97.75599799999999,7.6,54.895,-0.5,1,1899,-0.02,-0.06
2018-04-08 10:31:44.890668,702.193355,30.325527,-97.75599799999999,7.6,54.77,-0.7,1,1895,-0.02,-0.06
2018-04-08 10:31:44.953322,702.256009,30.325514000000002,-97.75599799999999,7.6,54.692,-0.7,1,1892,-0.02,-0.06
2018-04-08 10:31:44.990668,702.293355,30.325506,-97.75599799999999,7.6,54.646,-0.8,1,1891,-0.02,-0.06
2018-04-08 10:31:45.076310,702.378997,30.325487,-97.75599799999999,7.6,54.538000000000004,-0.9,1,1887,-0.01,-0.06
2018-04-08 10:31:45.090667,702.3933549999999,30.325484000000003,-97.75599799999999,7.6,54.521,-1.0,1,1887,-0.01,-0.06
2018-04-08 10:31:45.107179,702.409866,30.325481,-97.75599799999999,7.6,54.5,-1.0,1,1886,-0.01,-0.06
2018-04-08 10:31:45.190667,702.493355,30.325463,-97.755999,7.61,54.396,-1.3,1,1881,-0.0,-0.06
2018-04-08 10:31:45.290668,702.593355,30.325440999999998,-97.755999,7.61,54.271,-1.7,1,1876,0.01,-0.07
2018-04-08 10:31:45.390668,702.693355,30.32542,-97.755999,7.61,54.146,-2.0,1,1871,0.02,-0.07
2018-04-08 10:31:45.490668,702.793355,30.325398999999997,-97.755999,7.61,54.021,-2.4,1,1865,0.03,-0.07
2018-04-08 10:31:45.590667,702.8933549999999,30.325377000000003,-97.756,7.61,53.896,-2.7,1,1860,0.03,-0.07
2018-04-08 10:31:45.690667,702.993355,30.325356,-97.756,7.61,53.771,-3.1,1,1854,0.04,-0.07
2018-04-08 10:31:45.707206,703.009894,30.325353000000003,-97.756,7.61,53.75,-3.1,1,1854,0.04,-0.07
2018-04-08 10:31:45.790668,703.093355,30.325335,-97.756001,7.61,53.593999999999994,-3.4,1,1849,0.05,-0.07
2018-04-08 10:31:45.890668,703.193355,30.325314000000002,-97.756001,7.62,53.406000000000006,-3.8,1,1844,0.06,-0.07
